date,humidity
2025-01-01,72.49467393280766
2025-01-02,40.06396126851177
2025-01-03,57.94896034228985
2025-01-04,66.44213165890787
2025-01-05,54.04257114369436
2025-01-06,64.95606011624363
2025-01-07,59.047412167408105
2025-01-08,48.65307895309708
2025-01-09,66.35402985025362
2025-01-10,44.91241780629969
2025-01-11,57.89261710581032
2025-01-12,54.14215322778273
2025-01-13,50.538170687792004
2025-01-14,51.94182273265186
2025-01-15,55.061314728568654
2025-01-16,64.14547551034781
2025-01-17,63.30128598604276
2025-01-18,77.24508739231838
2025-01-19,56.835095289648976
2025-01-20,51.943248266744504
2025-01-21,48.81342769524271
2025-01-22,67.71039338684938
2025-01-23,62.799120633170205
2025-01-24,51.05444320620588
2025-01-25,49.47329555260022
2025-01-26,63.48617708736625
2025-01-27,38.45481801354906
2025-01-28,45.51791407286524
2025-01-29,40.073857648899555
2025-01-30,60.70194114083772
2025-01-31,77.64004669968224
2025-02-01,44.52929432318164
2025-02-02,33.79352903911908
2025-02-03,50.69019203937813
2025-02-04,43.590472634873166
2025-02-05,54.24558743492211
2025-02-06,46.316042035400216
2025-02-07,48.905576029681626
2025-02-08,51.02998275170747
2025-02-09,68.70063631694958
2025-02-10,44.48011493219262
2025-02-11,56.542325179340835
2025-02-12,59.62395506935556
2025-02-13,59.97157514023972
2025-02-14,42.40996336033072
2025-02-15,56.5786309450402
2025-02-16,52.88095844487038
2025-02-17,44.31378653512314
2025-02-18,72.52069276687581
2025-02-19,52.49665539554061
2025-02-20,52.39251334598881
2025-02-21,58.092650458946146
2025-02-22,68.05399383839429
2025-02-23,28.274591963218644
2025-02-24,67.27594635788259
2025-02-25,59.153792863964554
2025-02-26,66.32775151951228
2025-02-27,77.21212321923838
2025-02-28,60.21328238275194
2025-03-01,86.6084939524041
2025-03-02,64.78169217150933
2025-03-03,75.13548815955284
2025-03-04,52.85157709176394
2025-03-05,61.55495012188903
2025-03-06,67.73897606261082
2025-03-07,61.33972501602956
2025-03-08,51.77459448069683
2025-03-09,70.87229538250145
2025-03-10,55.30840458188694
2025-03-11,58.375996125573835
2025-03-12,68.09393690120925
2025-03-13,65.65115632732059
2025-03-14,54.162410359676265
2025-03-15,40.275613454621364
2025-03-16,20.781746772701965
2025-03-17,61.46129520047672
2025-03-18,39.749318932736266
2025-03-19,48.5585834684966
2025-03-20,27.598042697316433
2025-03-21,47.532104733955975
2025-03-22,53.738840842632946
2025-03-23,25.758855522319546
2025-03-24,59.4316919629562
2025-03-25,64.73055142335286
2025-03-26,42.12044566239037
2025-03-27,53.26899052379216
2025-03-28,78.8830363375925
2025-03-29,55.2289739602542
2025-03-30,44.48075928083112
2025-03-31,56.366920589030656
2025-04-01,64.7471742335139
2025-04-02,63.0030153680646
2025-04-03,20.0
2025-04-04,53.592634878667326
2025-04-05,43.460672592299126
2025-04-06,82.63527144268907
2025-04-07,42.717047939467385
2025-04-08,55.96672461783018
2025-04-09,26.564236135567597
2025-04-10,62.39141812743769
2025-04-11,59.495114280173894
2025-04-12,51.82029283993551
2025-04-13,45.392370614100386
2025-04-14,44.73931419991486
2025-04-15,65.68246016639505
2025-04-16,73.11401597534517
2025-04-17,44.226662607668196
